fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230419 131919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	862	TRUE	394943	0.0100121918472111	0.456412595146492	1399	446	13185	68685000	38
20230419 132237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	674	TRUE	394943	0.0102732993313817	0.23708802573339	607	106	13261	69180000	39
20230419 132308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	394943	0.0672617855470265	0.304399234985186	799	89	13264	67380000	40
20230419 132633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	643	TRUE	394943	0.0100176228146265	0.231390099153137	11	301	13018	66675000	41
20230419 132915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	639	TRUE	394943	0.010012530663178	0.436934405771766	1495	157	13337	68115000	42
20230419 133214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1210	TRUE	394943	0.0106642744506478	0.215465469447406	3373	795	13193	65910000	43
20230419 133527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	825	TRUE	394943	0.0100117912271	0.846251811032776	905	499	13694	68490000	44
20230419 133842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1481	TRUE	394943	0.0101047370904337	0.282085625435626	36	16	13506	66525000	45
20230419 134203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	896	TRUE	394943	0.0100274381451067	0.204038248527664	600	563	13192	67230000	46
20230419 134509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1328	TRUE	394943	0.0102393426740882	0.266008718974431	3718	16	11564	66360000	47
20230419 134701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	492	TRUE	394943	0.0100196135131996	0.904727865004154	578	60	12062	68700000	48
20230419 135020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1221	TRUE	394943	0.010023732518562	0.201800953852274	2367	328	12798	66975000	49
20230419 135419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1507	TRUE	394943	0.0100194006874569	0.995378939816217	1738	934	13241	67080000	50
20230419 135651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1106	TRUE	394943	0.0100062672238701	0.660275215781705	5039	1012	13230	66870000	51
20230419 140039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1764	TRUE	394943	0.0104154594872337	0.997670411599799	3247	427	12846	67545000	52
20230419 140526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1909	TRUE	394943	0.0104583896306984	0.433530393099578	4541	446	14997	65415000	53
20230419 140743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	740	TRUE	394943	0.0103310214900423	0.945068737002648	332	68	9450	67290000	54
20230419 140757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	394943	0.214962646052451	0.99679767669981	7990	1024	14998	62895000	55
20230419 141020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	985	TRUE	394943	0.0108119396567155	0.997998791221037	3999	1014	13977	67035000	56
20230419 141353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	768	TRUE	394943	0.0100600077183934	0.415820493788785	686	286	12945	68325000	57
20230419 141725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1673	TRUE	394943	0.0103187765662059	0.20172020708596	512	25	12936	68475000	58
20230419 142006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	891	TRUE	394943	0.0100770279167899	0.218566112777288	968	59	14939	67035000	59
20230419 142235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	575	TRUE	394943	0.0102795148974449	0.869883997697113	1193	278	13479	68415000	60
20230419 142522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	909	TRUE	394943	0.0101683699136897	0.856830017299263	1748	575	13396	67815000	61
20230419 142805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1103	TRUE	394943	0.0103733533944414	0.996911535675473	2240	33	12803	67680000	62
20230419 143058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	839	TRUE	394943	0.0100969793997742	0.942990884928314	1333	803	13444	67800000	63
20230419 143305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	990	TRUE	394943	0.0108880725791812	0.941415570858587	3195	17	14966	66825000	64
20230419 143540	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	995	TRUE	394943	0.0123479611101531	0.319788158123146	5511	750	14988	65205000	65
20230419 143813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1190	TRUE	394943	0.0100649564648645	0.86711929610743	3003	19	11895	68115000	66
20230419 144144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1329	TRUE	394943	0.0105494202757662	0.230385582451533	1835	670	12679	67935000	67
20230419 144432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1255	TRUE	394943	0.0101582282477528	0.999367368887242	4658	867	11472	67590000	68
20230419 144445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	394943	0.252989548839729	0.97876128507659	6818	27	14982	63780000	69
20230419 144822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1688	TRUE	394943	0.0111899785607158	0.200503240512226	4823	1022	11126	65745000	70
20230419 144846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	394943	0.0998203435079517	0.998207419374705	5402	1023	11775	66795000	71
20230419 144856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	394943	0.299885172869382	0.995637124096296	626	32	13597	63255000	72
