fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230428 011825	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.257525678609384	0.193544434992073	471	125	10740	58344197.9010495	24
20230428 012105	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	775	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0485032138294932	0.842950322584974	36	1082	12285	66033455.7721139	25
20230428 012440	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	618	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.138923661391782	0.356411499123654	32	881	13314	63091523.2383808	26
20230428 012713	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	217	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0107628531511442	0.805277259969728	31	12273	14596	60947712.143928	27
20230428 012823	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	100	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.151507913012076	0.858706605884403	516	8259	12608	66637109.4452774	28
20230428 013135	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	227	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.180231861913567	0.563949260223221	523	1279	13217	60633137.9310345	29
20230428 013306	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	37	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0530387298622634	0.373021288814	708	8187	13278	61269628.185907	30
20230428 013434	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0224733316106605	0.629401073350355	176	22923	14061	57909953.5232384	31
20230428 013550	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0487840025863331	0.771268638456154	980	40723	15876	57941115.4422789	32
20230428 013644	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0831332647982868	0.683134499749367	251	22518	14452	57506248.8755622	33
20230428 013738	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0779618275245878	0.999895828555613	118	13304	14326	57949196.4017991	34
20230428 013827	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0915143725879281	0.887318923332866	268	26713	17836	55790110.9445277	35
20230428 013906	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0437527216385608	0.77570753960415	5	13195	14135	54520037.4812594	36
20230428 014001	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	150	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.245593724736704	0.0755487852476467	470	16157	11987	61954082.4587706	37
20230428 014207	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	195	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.252459629490674	0.498566324794204	895	23554	13758	61203721.1394303	38
20230428 014514	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0216477757508028	0.433576058753151	547	48378	16117	57716526.2368816	39
20230428 014708	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	367	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.233226292542957	0.176779866658349	164	31132	13585	62514385.3073463	40
20230428 014831	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.125236846298904	0.652523582177805	301	7266	12617	66316256.3718141	41
20230428 014938	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	77	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.282087527899379	0.265653991325702	552	49064	13349	61981305.8470765	42
20230428 015015	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.24065158589517	0.0116588172284956	689	9934	14139	58762610.1949025	43
20230428 015156	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.247383954249802	0.812202931843312	120	15082	11086	63938461.7691154	44
20230428 015328	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.247025328688757	0.482751376077263	753	30567	14550	60492128.9355322	45
20230428 015547	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	630	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.146569456030475	0.64782437214043	495	34634	13217	65191398.8005997	46
20230428 015647	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0736885940435063	0.734769204864125	452	14745	14056	60209931.0344828	47
20230428 015958	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	852	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.101942801540063	0.932947349295248	87	22709	11985	63208358.3208396	48
